id,theme,citation,year,venue,method_sample,key_finding,limitation,review_depth,doi_url,ad_mind_use
P13,skippable delivery,"Pashkevich, Dorai-Raj, Kellar & Zigmond — Empowering Online Advertisements by Empowering Viewers",2012,Journal of Advertising Research,"Google/YouTube randomized experiments and search-lift effectiveness measure","Skippable TrueView ads could be as effective per impression as conventional ads and showed strong implied viewer preference.","Industry-authored study, historical YouTube product, and proprietary outcome definition.",full text,https://doi.org/10.2501/JAR-52-4-451-457,"Include an industry precedent for choice, but reproduce with transparent metrics."
P14,perceived control,"Li & Yin — How perceived control affects advertising avoidance intention",2021,Chinese Journal of Communication,"Chinese-context survey; SEM and conditional process analysis","Perceived control reduced avoidance; intrusiveness partially mediated; ad content quality moderated the pathway.","Survey intention rather than observed behavior; sample size not exposed in accessible abstract.",abstract and method,https://doi.org/10.1080/17544750.2020.1776743,"Let control alter interruption cost, moderated by creative quality."
P15,inconvenience cost,"Shon, Shin, Hwang & Lee — Free contents vs. inconvenience costs",2021,Telematics and Informatics,"Conjoint survey, mixed logit, and platform market-share simulation","Use of personal information produced the largest inconvenience cost; shorter ads and less personal-data use improved simulated platform share.","Stated-preference and simulation results are not observed churn or revenue.",abstract and method,https://doi.org/10.1016/j.tele.2020.101476,"Represent privacy/data-use as an explicit viewer cost, not only a compliance flag."
P16,non-intrusive streaming,"Furini — A multimedia framework for personalized, non-intrusive advertising in video streaming",2026,Multimedia Systems,"Proof of concept plus questionnaire; N=104 young adults","User-activated overlays linked to on-screen products attracted interest and offered a lightweight alternative to forced interruption.","Young, narrow sample and proof-of-concept environment; no production platform test.",full text,https://doi.org/10.1007/s00530-026-02268-z,"Prototype a pull-based contextual card/overlay as an optional format."
P17,media context,"Kwon, King, Nyilasy & Reid — Impact of Media Context on Advertising Memory",2019,Journal of Advertising Research,"Meta-analysis of quantitative media-context studies through 2013","Context factors had significant but weak-to-moderate relationships with advertising memory; context should inform media decisions.","Memory focus, older corpus, and correlated context/study factors; not a simple congruity rule.",abstract and method,https://doi.org/10.2501/JAR-2018-016,"Use context as one input and retain uncertainty/boundary conditions."
P18,media engagement,"Calder, Malthouse & Schaedel — Online Engagement and Advertising Effectiveness",2009,Journal of Interactive Marketing,"Experiments using scales across eight online experiences","Personal and social-interactive engagement with a site were positively associated with banner-ad effectiveness.","Website/banner context predates modern streaming; construct measurement may not transfer directly.",abstract and method,https://doi.org/10.1016/j.intmar.2009.07.002,"Include media engagement as a possible amplifier, not a license to interrupt."
P19,location congruity,"Hühn et al. — Does location congruence matter?",2017,Computers in Human Behavior,"Four-week experience-sampling field experiment; 40 recruited, 23 responding, 107 responses","Location congruity raised relevance and value but did not reduce intrusiveness; intra-person variation was substantial.","Small student campus sample and restaurant coupons.",full text,https://doi.org/10.1016/j.chb.2017.03.003,"Do not let a relevance gain automatically cancel interruption cost."
P20,cognitive-affective fit,"Sharma — Recall of television commercials as a function of viewing context",2000,The Journal of General Psychology,"2×2 experiment; N=103","Cognitive ads were recalled better in cognitive programs and affective ads in affective programs.","Traditional TV and immediate recall; not interactive or personalized delivery.",abstract and method,https://doi.org/10.1080/00221300009598592,"Distinguish informational versus affective fit in scene/ad matching."
P21,congruity boundary,"Furnham, Gunter & Richardson — Effects of Product–Program Congruity",2002,Journal of Applied Social Psychology,"Youth experiment; N=123 aged 16–19; car and food ads/programs","Memory results depended on free versus cued recall and sometimes favored incongruity; involvement was unrelated to recall/recognition.","Youth sample, traditional TV, limited categories.",abstract and method,https://doi.org/10.1111/j.1559-1816.2002.tb01423.x,"Prevent a universal congruity bonus and evaluate multiple memory outcomes."
P22,mood,"Tafani, Roux & Greifeneder — In the mood for action",2018,Journal of Business Research,"Three experiments; judgment, intention, and event-attendance outcomes","Negative program-induced mood increased bottom-up processing of strong arguments and produced higher behavioral effectiveness in the tested condition.","Effect depends on argument quality and study setting; not permission to target distress.",full text,https://doi.org/10.1016/j.jbusres.2017.11.023,"Avoid a simplistic positive-mood rule; protected distress remains a separate hard policy."
P23,mood congruity,"Kamins, Marks & Skinner — Television Commercial Evaluation in Program-Induced Mood",1991,Journal of Advertising,"Program-induced mood/commercial evaluation experiment; sample not reported in accessible record","Commercial evaluation depended on program-induced mood and mood-message relationship.","Older television study; full design/effect sizes not audited.",bibliographic and abstract,https://doi.org/10.1080/00913367.1991.10673209,"Represent mood fit as uncertain contextual evidence rather than a deterministic rule."
P24,relevance and privacy,"Zhu & Chang — The key role of relevance in personalized advertisement",2016,Computers in Human Behavior,"Survey of online users; N=386","Perceived relevance mitigated privacy concerns and improved continued-use intention, while privacy invasion reduced it.","Cross-sectional perceptions and intentions; relevance does not erase consent requirements.",abstract and method,https://doi.org/10.1016/j.chb.2016.08.048,"Keep relevance and privacy risk in separate score components."
P25,personalization timing,"Bleier & Eisenbeiss — Personalized Online Advertising Effectiveness",2015,Marketing Science,"Two large field experiments and two lab experiments; one field sample about 1.2M impressions","High personalization was strongest just after a store visit in an early information state and decayed quickly; placement/browsing mode changed informativeness and intrusiveness.","Retail banners and one partner context; not long-form video.",full text,https://doi.org/10.1287/mksc.2015.0930,"Use signal recency, decision stage, and placement fit; avoid static user profiles."
P26,retargeting specificity,"Lambrecht & Tucker — When Does Retargeting Work?",2013,Journal of Marketing Research,"Online travel-firm field experiment covering 2.8M+ exposed consumers plus robustness experiments","Specific dynamic retargeting underperformed generic ads on average until behavior indicated narrowed preferences.","Travel category and historic banner environment; observed external browsing is an imperfect stage proxy.",full text,https://doi.org/10.1509/jmr.11.0503,"Do not equate the most specific available creative with the best choice."
P27,personalization paradox,"Aguirre, Mahr, Grewal, de Ruyter & Wetzels — Unraveling the personalization paradox",2015,Journal of Retailing,"Exploratory Facebook field evidence, campaign secondary data, and three experiments","Covert information collection increased vulnerability and could sharply reduce click-through; overt collection and trust cues mitigated the effect.","Facebook/retail setting and mixed evidence sources; not a substitute for current legal review.",full text,https://doi.org/10.1016/j.jretai.2014.09.005,"Record signal provenance and consent visibility; explain why data are used."
P28,trust,"Bleier & Eisenbeiss — The Importance of Trust for Personalized Online Advertising",2015,Journal of Retailing,"Quasi-experimental retargeting field data plus scenario-based lab experiment","Trusted retailers benefited from high-depth/narrow-breadth personalization; for less trusted retailers high depth triggered reactance/privacy concern.","Retailer trust and banner personalization may not transfer directly to a video platform.",abstract and method,https://doi.org/10.1016/j.jretai.2015.04.001,"Include advertiser/platform trust and breadth/depth limits."
P29,overpersonalization,"White, Zahay, Thorbjørnsen & Shavitt — Getting too personal",2008,Marketing Letters,"Two experiments; Study 1 N=86; Study 2 N=354 recruited, final N=331","Highly distinctive personalization reduced favorable response when fit was unjustified, especially when perceived utility was low.","Student and email settings; hypothetical/controlled messages.",full text,https://doi.org/10.1007/s11002-007-9027-9,"Require a clear utility rationale before using high-depth personalization."
P30,behavioral advertising,"Ham — Exploring how consumers cope with online behavioral advertising",2017,International Journal of Advertising,"Survey; N=442","Persuasion knowledge worked through risk, benefit, and self-efficacy; privacy concerns, reactance, and perceived personalization were associated with avoidance.","Survey and self-reported coping; causal direction is limited.",abstract and method,https://doi.org/10.1080/02650487.2016.1239878,"Track perceived surveillance/reactance, not clicks alone."
P31,retargeting surveillance,"Farman, Comello & Edwards — Are Consumers Put off by Retargeted Ads?",2020,Journal of Broadcasting & Electronic Media,"Experiment; N=280","Behavioral targeting had a positive direct purchase-intent effect but a negative indirect path through surveillance, threat, reactance, and ad attitude.","Single experimental product/ad; indirect effect depends on model and measures.",abstract and method,https://doi.org/10.1080/08838151.2020.1767292,"Expose the commercial upside and trust cost as simultaneous outcomes."
P32,privacy moderation,"Chen, Sun & Liu — Balancing web personalization and consumer privacy concerns",2022,Journal of Consumer Behaviour,"Online survey and mediated/moderated model; sample size not visible in accessible text","With low privacy concern, personalization increased trust and loyalty; with high concern, reactance became the pathway and privacy concern weakened loyalty.","Cross-sectional website context; sample details need publisher supplement.",full text,https://doi.org/10.1002/cb.1947,"Provide personalized and non-personalized modes; do not force one policy."
P33,web repetition,"Lee & Cho — Exploring wear-in and wear-out in web advertising",2010,International Journal of Electronic Marketing and Retailing,"2×6 experiment; N=222 students; exposures 1,2,3,5,7,9","Repetition had weak main effects but interacted with brand familiarity; unfamiliar brands showed nonlinear wear-in/wear-out patterns.","Mostly 18–23-year-old students, one product category, forced web-banner exposure.",full text,https://doi.org/10.1504/IJEMR.2010.030509,"Make caps sensitive to brand familiarity and creative/campaign state."
P34,effective frequency,"Schmidt & Eisend — Advertising Repetition: A Meta-Analysis",2015,Journal of Advertising,"Meta-analysis of controlled experimental repetition studies","Experimental brand attitude peaked near ten exposures; recall rose through at least eight; spacing, involvement, embedding, and delay moderated effects.","Experimental optimum is not a production cap; field exposure and creative variation differ.",full text,https://doi.org/10.1080/00913367.2015.1018460,"Reject a universal three-exposure rule; tune multi-level caps empirically."
P35,repetition harm,"McCoy, Everard, Galletta & Moody — Here we go again!",2017,Information & Management,"Simulated Chilean website experiment with real ads","Repetition degraded ad/site perceptions except when initial ad perceptions were positive; negative ad perceptions reduced revisit intentions as impressions rose.","Simulated website and country-specific sample; not video or longitudinal behavior.",abstract and method,https://doi.org/10.1016/j.im.2016.03.005,"Include host-site attitude and revisit/abandonment guardrails."
P36,delayed wearout,"Kronrod & Huber — Ad wearout wearout",2019,International Journal of Research in Marketing,"Field study, four-wave longitudinal online experiment, and third boundary-condition experiment","Frequent repetition raised immediate annoyance, but annoyance decayed while memory persisted; later preference reversal occurred only when the category became relevant.","Culture/categories and measurement timing can change effects; not a reason to ignore immediate UX harm.",full text,https://doi.org/10.1016/j.ijresmar.2018.11.008,"Report short- and delayed-horizon outcomes separately."
P37,wearout mechanism,"Craig, Sternthal & Leavitt — Advertising Wearout",1976,Journal of Marketing Research,"Two high-repetition print-ad experiments","Observed recall wearout was attributable partly to inattention and reactance; controlling them removed the decline.","Old print experiments at extreme repetition levels.",abstract and method,https://doi.org/10.1177/002224377601300406,"Model attention and reactance as mechanisms rather than only impression count."
P38,guaranteed allocation,"Rhuggenaath, Akcay, Zhang & Kaymak — Optimal display-ad allocation with guaranteed contracts and SSPs",2019,Computers & Industrial Engineering,"Two-stage stochastic-programming model and numerical experiments against an industry heuristic","Publishers must allocate qualifying impressions to guaranteed contracts while deciding what to sell through SSPs; optimal value depends on traffic and required contract share.","Display-ad SME setting and numerical evaluation, not Tencent or video UX.",full text,https://doi.org/10.1016/j.cie.2019.106071,"Model minimum delivery, remaining supply, auction alternative, and shortfall risk."
P39,ad contracts,"Cohen, Désir, Korula & Sivan — Best of Both Worlds Ad Contracts",2023,Management Science,"Mechanism-design and auction analysis of guaranteed allocation/price with programmatic efficiency","Guaranteed contracts can remove allocation and price uncertainty for risk-averse advertisers while coexisting with auction efficiency.","Theoretical market design; no viewer-experience objective.",abstract and method,https://doi.org/10.1287/mnsc.2022.4542,"Represent reserved/guaranteed demand as a valid business constraint, not merely a high bid."
P40,delivery bias,"Ali et al. — Discrimination through Optimization",2019,Proceedings of the ACM on Human-Computer Interaction,"Black-box Facebook ad-delivery experiments including employment and housing ads","Budget, content, market costs, and predicted relevance produced gender/race delivery skew even with neutral or inclusive targeting.","One platform/time period and inferred demographic outcomes; external audits cannot see internal mechanisms.",full text,https://doi.org/10.1145/3359301,"Audit outcome distribution even when targeting inputs look neutral."
P41,fairness audit,"Imana, Korolova & Heidemann — Auditing for Discrimination in Algorithms Delivering Job Ads",2021,The Web Conference,"Paired concurrent-ad black-box audit of Facebook and LinkedIn","The method found non-qualification gender skew on Facebook but not LinkedIn, demonstrating the need to separate qualification from delivery optimization.","Employment domain and U.S. legal framing; audit power depends on platform observability.",full text,https://doi.org/10.1145/3442381.3450077,"Add paired counterfactual audit fixtures and category-specific safeguards."
P42,feedback bias,"Rathee, Banker, Mishra & Mishra — Algorithms propagate gender bias in the marketplace",2023,Journal of Consumer Psychology,"Large text-corpus analyses plus marketplace/consumer experiments","Algorithms reproduced gender associations and consumers reinforced biased delivery by clicking stereotyped ads.","Focus on gender associations and selected marketplaces; click behavior does not fully define preference.",full text,https://doi.org/10.1002/jcpy.1351,"Prevent engagement feedback from silently legitimizing stereotype amplification."
P43,countdown attention,"Su, Guo, Tang & Huang — Countdown timers improve online video advertising effectiveness",2025,European Journal of Marketing,"Four lab and eye-tracking experiments","Countdowns improved memory for short and long ads, especially experience ads; the mechanism was attention rather than reduced irritation.","Controlled experiments and memory outcomes; does not contradict context-specific timer irritation effects.",abstract and method,https://doi.org/10.1108/EJM-12-2022-0894,"Treat attention gain and irritation reduction as different hypotheses."
